默写古诗《所见》的作者和朝代。,【清】袁枚
补充诗句：牧童骑黄牛，_____。,歌声振林樾
补充诗句：意欲捕鸣蝉，_____。,忽然闭口立
在古诗《所见》中，“樾”字的偏旁是“木”，可以推测它的意思和什么有关？,树木
《所见》中哪两句诗描绘了牧童机敏捕蝉的画面？,意欲捕鸣蝉，忽然闭口立。
在《所见》这首诗中，诗人袁枚刻画了一个怎样特点的儿童形象？,天真活泼
补充与人有关的成语：摇（__）晃（__）。,摇头晃脑
补充与人有关的成语：手（__）眼（__）。,手疾眼快
补充与人有关的成语：（__）心（__）胆。,提心吊胆
补充与人有关的成语：手（__）脚（__）。,手忙脚乱
补充与人有关的成语：张（__）舞（__）。,张牙舞爪
补充与人有关的成语：披（__）散（__）。,披头散发
《花的学校》拓展资料中介绍的人物是谁？他的国籍和职业是什么？,泰戈尔，印度籍的作家和诗人。
泰戈尔的主要成就是什么？,出版过五十多部诗集，曾获1913年诺贝尔文学奖。
判断正误：泰戈尔生于1861年，成名于1941年。,× (1941年是他去世的年份)
《望洞庭》的作者是谁？他属于哪个朝代？,【唐】刘禹锡
补充诗句：湖光秋月两相和，_____。,潭面无风镜未磨
《望洞庭》中，以奇特的想象和确切的比喻描绘洞庭湖山水的诗句是哪两句？,遥望洞庭山水翠，白银盘里一青螺。
《山行》的作者是谁？他属于哪个朝代？,【唐】杜牧
补充诗句：远上寒山石径斜，_____。,白云生处有人家
补充诗句：停车坐爱枫林晚，_____。,霜叶红于二月花
《夜书所见》的作者是谁？他属于哪个朝代？,【宋】叶绍翁
补充诗句：萧萧梧叶送寒声，_____。,江上秋风动客情
补充诗句：知有儿童挑促织，_____。,夜深篱落一灯明
在《夜书所见》中，“促织”指的是什么动物？,蟋蟀
《望洞庭》、《山行》、《夜书所见》这三首诗描写的都是哪个季节的景色？,秋季
在课文《秋天的雨》中，秋天的雨有一盒五彩缤纷的_____。,颜料
在《秋天的雨》中，黄色的颜料给了银杏树，黄黄的叶子像_____。,一把把小扇子
在《秋天的雨》中，红色的颜料给了枫树，红红的枫叶像_____。,一枚枚邮票
《舟夜书所见》的作者是谁？他属于哪个朝代？,【清】查慎行
补充诗句：月黑见渔灯，_____。,孤光一点萤
《舟夜书所见》中，将风吹动水波后渔灯倒影散开的景象比喻成什么的诗句是？,散作满河星
补充《荀子》中的名句：与人善言，暖于布帛；_____，深于矛戟。,伤人以言
“仁者爱人，有礼者敬人”这句话出自哪部经典？,《孟子》
“不迁怒，不贰过”这句话出自哪部经典？,《论语》
补充含有数字的成语：七（__）八（__）。,七上八下
补充含有数字的成语：四（__）八（__）。,四面八方
补充关于团结协作的俗语：三个臭皮匠，_____。,顶个诸葛亮
补充关于团结协作的俗语：二人同心，_____。,其利断金
补充关于团结协作的俗语：人心齐，_____。,泰山移
《安徒生童话》是哪个国家的哪位作家的作品？,丹麦的安徒生
在安徒生童话中，历经磨难的丑小鸭最终变成了什么？,白天鹅
在安徒生童话中，和王子跳完最后一支舞的小人鱼变成了什么？,泡沫
《格林童话》是由谁搜集整理而成的？,格林兄弟
《稻草人》是哪个国家的哪位作家的作品？,中国的叶圣陶
在《稻草人》的故事中，稻草人的主人是谁？,一位老太太
《早发白帝城》的作者是谁？他被后人誉为什么？,李白，诗仙
补充诗句：朝辞白帝彩云间，_____。,千里江陵一日还
补充诗句：两岸猿声啼不住，_____。,轻舟已过万重山
《早发白帝城》中，“千里”与“一日还”形成对比，写出了什么特点？,行船的速度很快
《望天门山》的作者是谁？,李白
《望天门山》的后两句诗是什么？,两岸青山相对出，孤帆一片日边来。
《鹿柴》的作者是谁？他属于哪个朝代？,【唐】王维
补充诗句：空山不见人，_____。,但闻人语响
《饮湖上初晴后雨》的作者是谁？他属于哪个朝代？,【宋】苏轼
苏轼在《饮湖上初晴后雨》中将西湖比作谁？,西子（西施）
补充诗句：欲把西湖比西子，_____。,淡妆浓抹总相宜
在《饮湖上初晴后雨》中，“淡妆”照应的是西湖_____时的景色，“浓抹”照应的是西湖_____时的景色。,雨天（山色空蒙），晴天（水光潋滟）
在课文《大自然的声音》中，风被称作大自然的_____。,音乐家
在课文《大自然的声音》中，水也被称作大自然的_____，下雨的时候它喜欢玩打击乐器。,音乐家
《采莲曲》的作者是谁？他属于哪个朝代？,【唐】王昌龄
补充诗句：荷叶罗裙一色裁，_____。,芙蓉向脸两边开
补充诗句：乱入池中看不见，_____。,闻歌始觉有人来
古文《司马光》选自哪部史书？,《宋史·司马光传》
补充古文《司马光》：群儿_____，一儿登瓮。,戏于庭
补充古文《司马光》：_____，光持石击瓮破之，水迸，儿得活。,众皆弃去
在《司马光》的故事中，当一个孩子落水后，其他孩子的表现是什么？（用原文回答）,众皆弃去
在《司马光》的故事中，司马光的表现是什么？（用原文回答）,光持石击瓮破之
从司马光砸缸救人的故事中，可以看出他是一个怎样的孩子？,沉着冷静，机智勇敢
补充《论语》中的名句：士不可以不弘毅，_____。,任重而道远
补充《墨子》中的名句：志不强者智不达，_____。,言不信者行不果
补充《荀子》中的名句：锲而舍之，朽木不折；_____，金石可镂。,锲而不舍
